uniqueID	waterbody	sample	site	rep	band	rrs	sd
ClearLake_20190816-LA03C_1	ClearLake_20190816	LA03C_1	LA03C	1	b10_681	0.007449486612589521	3.183319156864677e-4
ClearLake_20190816-LA03C_1	ClearLake_20190816	LA03C_1	LA03C	1	b11_709	0.010894357091267357	8.805610841144659e-4
ClearLake_20190816-LA03C_2	ClearLake_20190816	LA03C_2	LA03C	2	b07_620	0.012047316945856893	2.2657051087493995e-4
ClearLake_20190816-LA03C_2	ClearLake_20190816	LA03C_2	LA03C	2	b08_665	0.008140522632696877	7.024915941221088e-4
ClearLake_20190816-LA03C_2	ClearLake_20190816	LA03C_2	LA03C	2	b10_681	0.0075688307658388155	3.3262815194053634e-4
ClearLake_20190816-LA03C_2	ClearLake_20190816	LA03C_2	LA03C	2	b11_709	0.01129423069600768	8.978840708512145e-4
ClearLake_20190816-LA03C_4	ClearLake_20190816	LA03C_4	LA03C	4	b07_620	0.012194844836819293	2.2950026123536585e-4
ClearLake_20190816-LA03C_4	ClearLake_20190816	LA03C_4	LA03C	4	b08_665	0.008161141881359996	6.913625635702841e-4
ClearLake_20190816-LA03C_4	ClearLake_20190816	LA03C_4	LA03C	4	b10_681	0.00758384111205465	3.251409653168807e-4
ClearLake_20190816-LA03C_4	ClearLake_20190816	LA03C_4	LA03C	4	b11_709	0.011044551978893296	9.085037159773796e-4
ClearLake_20190816-LA03D_1	ClearLake_20190816	LA03D_1	LA03D	1	b07_620	0.011538830059608207	2.1712407259350964e-4
ClearLake_20190816-LA03D_1	ClearLake_20190816	LA03D_1	LA03D	1	b08_665	0.007825905914266839	5.524464753284446e-4
ClearLake_20190816-LA03D_1	ClearLake_20190816	LA03D_1	LA03D	1	b10_681	0.0074006113284850695	2.62794679570905e-4
ClearLake_20190816-LA03D_1	ClearLake_20190816	LA03D_1	LA03D	1	b11_709	0.009116057951010368	8.582567096782331e-4
ClearLake_20190816-LA03D_2	ClearLake_20190816	LA03D_2	LA03D	2	b07_620	0.011745554644856732	2.2102270280468297e-4
ClearLake_20190816-LA03D_2	ClearLake_20190816	LA03D_2	LA03D	2	b08_665	0.008036077775585142	5.640128878019624e-4
ClearLake_20190816-LA03D_2	ClearLake_20190816	LA03D_2	LA03D	2	b10_681	0.00761691002919937	2.7252269158479836e-4
ClearLake_20190816-LA03D_2	ClearLake_20190816	LA03D_2	LA03D	2	b11_709	0.00944645472419569	8.837490590335862e-4
ClearLake_20190816-LA03D_3	ClearLake_20190816	LA03D_3	LA03D	3	b07_620	0.011446495941713632	2.0982627582078115e-4
ClearLake_20190816-LA03D_3	ClearLake_20190816	LA03D_3	LA03D	3	b08_665	0.007857853192729178	5.499837971564999e-4
ClearLake_20190816-LA03D_3	ClearLake_20190816	LA03D_3	LA03D	3	b10_681	0.007459700504865113	2.70647389338649e-4
ClearLake_20190816-LA03D_3	ClearLake_20190816	LA03D_3	LA03D	3	b11_709	0.009323872312077845	8.762013059245325e-4
ClearLake_20190816-OA04C_1	ClearLake_20190816	OA04C_1	OA04C	1	b07_620	0.0161065308182528	3.6298137491134797e-4
ClearLake_20190816-OA04C_1	ClearLake_20190816	OA04C_1	OA04C	1	b08_665	0.011741888192506617	7.67353984886489e-4
ClearLake_20190816-OA04C_1	ClearLake_20190816	OA04C_1	OA04C	1	b10_681	0.01107653907184878	4.1282156289917894e-4
ClearLake_20190816-OA04C_1	ClearLake_20190816	OA04C_1	OA04C	1	b11_709	0.014569036724370134	0.0012781827936526654
ClearLake_20190816-OA04C_2	ClearLake_20190816	OA04C_2	OA04C	2	b07_620	0.017489388306051894	3.9394238524156894e-4
ClearLake_20190816-OA04C_2	ClearLake_20190816	OA04C_2	OA04C	2	b08_665	0.012787594002854036	8.411759342630769e-4
ClearLake_20190816-OA04C_2	ClearLake_20190816	OA04C_2	OA04C	2	b10_681	0.011990931514083153	4.489573128705382e-4
