uniqueID	waterbody	sample	site	rep	ci
SanPabloReservoir_20190812-P2S2_1	SanPabloReservoir_20190812	P2S2_1	P2S2	1	-1.5293974946471917e-4
SanPabloReservoir_20190812-P2S2_2	SanPabloReservoir_20190812	P2S2_2	P2S2	2	-1.5775664160654448e-4
SanPabloReservoir_20190812-P2S2_3	SanPabloReservoir_20190812	P2S2_3	P2S2	3	-1.6700344822308906e-4
SanPabloReservoir_20190812-P2S3_1	SanPabloReservoir_20190812	P2S3_1	P2S3	1	-1.689403397161192e-4
SanPabloReservoir_20190812-P2S3_2	SanPabloReservoir_20190812	P2S3_2	P2S3	2	-1.5921934197979967e-4
SanPabloReservoir_20190812-P2S3_3	SanPabloReservoir_20190812	P2S3_3	P2S3	3	-1.980227261152885e-4
SanPabloReservoir_20190812-P3S1_1	SanPabloReservoir_20190812	P3S1_1	P3S1	1	-3.7650710401882686e-5
SanPabloReservoir_20190812-P3S1_2	SanPabloReservoir_20190812	P3S1_2	P3S1	2	-6.588291391142957e-5
SanPabloReservoir_20190812-P3S1_3	SanPabloReservoir_20190812	P3S1_3	P3S1	3	-9.080703382589308e-5
SanPabloReservoir_20190812-P3S2_1	SanPabloReservoir_20190812	P3S2_1	P3S2	1	-5.174027791262075e-5
SanPabloReservoir_20190812-P3S2_2	SanPabloReservoir_20190812	P3S2_2	P3S2	2	-9.167281355384918e-5
SanPabloReservoir_20190812-P3S2_3	SanPabloReservoir_20190812	P3S2_3	P3S2	3	-6.60047042122426e-5
SanPabloReservoir_20190812-P3S3_1	SanPabloReservoir_20190812	P3S3_1	P3S3	1	-1.1481237641910828e-4
SanPabloReservoir_20190812-P3S3_2	SanPabloReservoir_20190812	P3S3_2	P3S3	2	-1.2811433054853443e-4
SanPabloReservoir_20190812-P3S3_3	SanPabloReservoir_20190812	P3S3_3	P3S3	3	-1.3905959359512788e-4
