Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.8862174,39.10227713,0,,-122.8862174,39.10227713,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8827662,39.10245194,0,,-122.8827662,39.10245194,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.879315,39.10262664,0,,-122.879315,39.10262664,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8758637,39.10280125,0,,-122.8758637,39.10280125,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8586069,39.10367275,0,,-122.8586069,39.10367275,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8551555,39.10384674,0,,-122.8551555,39.10384674,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.851704,39.10402064,0,,-122.851704,39.10402064,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8482525,39.10419443,0,,-122.8482525,39.10419443,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8448009,39.10436812,0,,-122.8448009,39.10436812,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8378978,39.1047152,0,,-122.8378978,39.1047152,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8344461,39.10488858,0,,-122.8344461,39.10488858,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8309945,39.10506187,0,,-122.8309945,39.10506187,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8275428,39.10523505,0,,-122.8275428,39.10523505,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8928951,39.09923817,0,,-122.8928951,39.09923817,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8894441,39.09941317,0,,-122.8894441,39.09941317,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.885993,39.09958806,0,,-122.885993,39.09958806,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8825419,39.09976285,0,,-122.8825419,39.09976285,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8790908,39.09993754,0,,-122.8790908,39.09993754,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8549322,39.10115752,0,,-122.8549322,39.10115752,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8514809,39.1013314,0,,-122.8514809,39.1013314,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8480295,39.10150518,0,,-122.8480295,39.10150518,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8445781,39.10167885,0,,-122.8445781,39.10167885,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8411266,39.10185242,0,,-122.8411266,39.10185242,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8342237,39.10219926,0,,-122.8342237,39.10219926,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8307721,39.10237253,0,,-122.8307721,39.10237253,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8273206,39.1025457,0,,-122.8273206,39.1025457,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8961213,39.09637405,0,,-122.8961213,39.09637405,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8926705,39.09654913,0,,-122.8926705,39.09654913,0,,TRUE,TRUE,TRUE,FALSE,,,
