Lon,Lat,Pixel Value
-122.867395439,39.0843260148,31
-122.863944986,39.0845001986,91
-122.860494503,39.0846742809,108
-122.85704399,39.0848482617,75
-122.853593448,39.0850221411,91
-122.850142875,39.085195919,93
-122.846692273,39.0853695954,100
-122.843241641,39.0855431703,91
-122.83979098,39.0857166438,87
-122.836340288,39.0858900158,91
-122.832889567,39.0860632863,97
-122.829438816,39.0862364553,118
-122.825988035,39.0864095228,120
-122.822537225,39.0865824889,105
-122.819086385,39.0867553534,115
-122.815635515,39.0869281165,94
-122.812184616,39.087100778,93
-122.808733687,39.0872733381,108
-122.805282729,39.0874457966,98
-122.80183174,39.0876181537,98
-122.901673482,39.079889592,106
-122.898223459,39.0800647735,109
-122.894773405,39.0802398536,107
-122.891323321,39.0804148323,105
-122.887873208,39.0805897095,103
-122.884423064,39.0807644854,107
-122.88097289,39.0809391597,112
-122.877522686,39.0811137327,93
-122.874072453,39.0812882042,70
-122.870622189,39.0814625742,65
-122.867171896,39.0816368428,63
-122.863721573,39.08181101,31
-122.860271219,39.0819850757,59
-122.856820836,39.08215904,70
-122.853370423,39.0823329027,89
-122.849919981,39.0825066641,84
-122.846469508,39.0826803239,98
-122.843019006,39.0828538824,109
-122.839568474,39.0830273393,108
-122.836117912,39.0832006948,116
-122.83266732,39.0833739488,107
-122.829216699,39.0835471013,109
-122.825766048,39.0837201523,100
-122.822315367,39.0838931019,109
-122.818864657,39.0840659499,116
-122.815413917,39.0842386965,118
-122.811963147,39.0844113416,124
-122.808512348,39.0845838852,119
-122.805061519,39.0847563273,106
-122.801610661,39.084928668,106
-122.798159773,39.0851009071,112
-122.901448674,39.0772005841,111
-122.89799878,39.077375749,97
-122.894548855,39.0775508124,98
-122.891098901,39.0777257744,117
-122.887648917,39.077900635,107
-122.884198903,39.0780753942,104
-122.880748859,39.0782500519,110
-122.877298785,39.0784246082,111
-122.873848681,39.0785990631,74
-122.870398547,39.0787734165,80
-122.866948383,39.0789476685,88
-122.863498189,39.0791218191,97
-122.860047966,39.0792958682,69
-122.856597712,39.0794698159,98
-122.853147429,39.0796436621,83
-122.849697116,39.0798174069,109
-122.846246773,39.0799910502,93
-122.8427964,39.0801645921,98
-122.839345998,39.0803380325,123
-122.835895565,39.0805113714,109
-122.832445104,39.0806846089,119
-122.828994612,39.0808577449,119
-122.825544091,39.0810307795,123
-122.82209354,39.0812037125,117
-122.818642959,39.0813765441,117
-122.815192349,39.0815492743,119
-122.811741709,39.0817219029,120
-122.808291039,39.0818944301,116
-122.80484034,39.0820668557,104
-122.801389611,39.0822391799,107
-122.797938853,39.0824114026,104
-122.904673629,39.0743363244,108
-122.901223895,39.074511574,111
-122.89777413,39.0746867221,94
-122.894324336,39.0748617689,98
-122.890874511,39.0750367142,79
-122.887424657,39.0752115581,112
-122.883974772,39.0753863006,102
-122.880524857,39.0755609417,118
-122.877074913,39.0757354814,94
-122.873624938,39.0759099196,118
-122.870174934,39.0760842565,113
-122.8667249,39.0762584919,99
-122.863274836,39.0764326258,74
-122.859824742,39.0766066584,106
-122.856374618,39.0767805895,95
-122.852924464,39.0769544191,87
-122.849474281,39.0771281473,91
-122.846024067,39.0773017741,87
-122.842573824,39.0774752994,94
-122.839123551,39.0776487233,106
-122.835673249,39.0778220458,103
-122.832222916,39.0779952667,108
-122.828772554,39.0781683863,110
-122.825322163,39.0783414043,113
-122.821871741,39.0785143209,116
-122.81842129,39.078687136,112
-122.81497081,39.0788598497,115
-122.811520299,39.0790324619,121
-122.808069759,39.0792049726,117
-122.80461919,39.0793773819,112
-122.801168591,39.0795496896,105
-122.797717962,39.0797218959,101
-122.794267304,39.0798940007,112
-122.904448751,39.0716473286,103
-122.900999146,39.0718225615,62
-122.897549511,39.0719976929,104
-122.894099846,39.072172723,109
-122.890650151,39.0723476517,110
-122.887200426,39.0725224789,115
-122.883750671,39.0726972048,107
-122.880300886,39.0728718292,117
-122.876851071,39.0730463523,119
-122.873401226,39.0732207739,117
-122.869951351,39.0733950941,116
-122.866501446,39.0735693129,101
-122.863051512,39.0737434303,108
-122.859601547,39.0739174462,104
-122.856151553,39.0740913608,106
-122.852701529,39.0742651738,95
-122.849251475,39.0744388855,90
-122.845801391,39.0746124957,114
-122.842351278,39.0747860045,90
-122.838901135,39.0749594119,108
-122.835450962,39.0751327178,79
-122.832000759,39.0753059223,106
-122.828550527,39.0754790253,117
-122.825100265,39.0756520269,121
-122.821649973,39.075824927,114
-122.818199651,39.0759977256,109
-122.8147493,39.0761704228,117
-122.81129892,39.0763430186,103
-122.807848509,39.0765155129,119
-122.804398069,39.0766879057,113
-122.8009476,39.076860197,106
-122.797497101,39.0770323869,107
-122.794046573,39.0772044753,107
-122.790596014,39.0773764622,116
-122.907673349,39.0687830129,105
-122.904223903,39.0689583305,102
-122.900774428,39.0691335466,97
-122.897324922,39.0693086614,91
-122.893875386,39.0694836748,106
-122.890425821,39.0696585868,101
-122.886976225,39.0698333974,111
-122.8835266,39.0700081066,100
-122.880076944,39.0701827144,104
-122.876627259,39.0703572208,101
-122.873177544,39.0705316258,117
-122.869727798,39.0707059294,119
-122.866278023,39.0708801316,101
-122.862828218,39.0710542324,122
-122.859378383,39.0712282318,103
-122.855928518,39.0714021297,120
-122.852478624,39.0715759263,104
-122.8490287,39.0717496214,112
-122.845578745,39.071923215,110
-122.842128762,39.0720967073,90
-122.838678748,39.0722700981,106
-122.835228704,39.0724433875,106
-122.831778631,39.0726165755,108
-122.828328529,39.072789662,119
-122.824878396,39.0729626471,115
-122.821428234,39.0731355307,102
-122.817978042,39.0733083129,113
-122.814527821,39.0734809937,112
-122.81107757,39.073653573,122
-122.807627289,39.0738260508,124
-122.804176979,39.0739984272,127
-122.800726639,39.0741707021,119
-122.797276269,39.0743428756,109
-122.793825871,39.0745149476,107
-122.790375442,39.0746869181,115
-122.786924984,39.0748587872,132
-122.907448401,39.0660940292,110
-122.903999085,39.06626933,67
-122.900549739,39.0664445295,107
-122.897100363,39.0666196276,92
-122.893650957,39.0667946243,95
-122.890201521,39.0669695196,103
-122.886752055,39.0671443135,95
-122.883302559,39.0673190061,109
-122.879853033,39.0674935973,93
-122.876403477,39.0676680871,111
-122.872953891,39.0678424754,103
-122.869504275,39.0680167624,115
-122.86605463,39.068190948,114
-122.862604954,39.0683650322,121
-122.859155249,39.068539015,118
-122.855705514,39.0687128964,127
-122.852255749,39.0688866763,117
-122.848805954,39.0690603549,109
-122.845356129,39.069233932,123
-122.841906275,39.0694074078,114
-122.838456391,39.0695807821,111
-122.835006477,39.069754055,109
-122.831556533,39.0699272264,103
-122.82810656,39.0701002964,123
-122.824656557,39.070273265,125
-122.821206525,39.0704461322,114
-122.817756462,39.0706188979,120
-122.814306371,39.0707915622,112
-122.810856249,39.0709641251,115
-122.807406098,39.0711365865,132
-122.803955917,39.0713089464,125
-122.800505707,39.0714812049,128
-122.797055467,39.071653362,116
-122.793605198,39.0718254176,108
-122.790154899,39.0719973717,114
-122.907223483,39.0634050431,112
-122.903774297,39.0635803272,105
-122.90032508,39.06375551,96
-122.896875834,39.0639305914,99
-122.893426557,39.0641055714,102
-122.889977251,39.0642804501,102
-122.886527914,39.0644552274,92
-122.883078548,39.0646299033,118
-122.879629151,39.0648044778,109
-122.876179725,39.064978951,112
-122.872730268,39.0651533227,119
-122.869280782,39.0653275931,120
-122.865831266,39.0655017621,124
-122.86238172,39.0656758297,125
-122.858932144,39.0658497959,129
-122.855482538,39.0660236607,127
-122.852032903,39.0661974241,118
-122.848583238,39.0663710861,124
-122.845133543,39.0665446467,116
-122.841683818,39.0667181059,114
-122.838234063,39.0668914637,121
-122.834784279,39.0670647201,117
-122.831334465,39.067237875,124
-122.827884621,39.0674109286,123
-122.824434748,39.0675838807,109
-122.820984845,39.0677567314,118
-122.817534912,39.0679294806,119
-122.81408495,39.0681021284,125
-122.810634958,39.0682746749,130
-122.807184937,39.0684471198,127
-122.803734886,39.0686194633,126
-122.800284805,39.0687917054,124
-122.796834695,39.0689638461,119
-122.793384555,39.0691358853,115
-122.789934386,39.069307823,114
-122.786484187,39.0694796594,124
-122.906998596,39.0607160547,115
-122.903549539,39.0608913221,101
-122.900100452,39.0610664882,82
-122.896651335,39.0612415529,101
-122.893202188,39.0614165162,99
-122.889753011,39.0615913782,102
-122.886303803,39.0617661389,118
-122.882854566,39.0619407981,105
